2.41642,0.266888,0,-8.77723e-07,2.21904e-05,-0.000797261,1
6.01813,0.0617318,0,-1.09178e-05,-2.24648e-05,-0.00285451,-1
8.7441,0.1295,0,9.99284e-05,-0.000194761,-0.0670472,-0.997755
12.4548,0.505658,0,-2.94042e-06,-7.62764e-06,0.0254383,0.999679
16.3517,0.866638,0,-2.52031e-07,1.54279e-05,0.00373807,0.999995
23.5929,1.17491,0,6.942e-07,4.70672e-05,-0.0365897,0.999332
29.8902,1.07571,0,-1.03655e-05,8.18075e-05,0.0404257,0.999186
35.726,1.49318,0,-1.42662e-05,-5.05008e-05,0.023274,0.999732
39.7374,1.67126,0,5.65213e-05,6.01993e-05,0.0212467,0.999781
42.2433,1.78273,0,2.21434e-05,2.69012e-05,-0.475573,0.879683
42.4346,-0.286909,0,1.50786e-05,3.9767e-05,-0.738076,0.674723
42.4608,-3.59056,0,-1.23311e-05,-7.20561e-06,-0.656325,0.754492
42.3402,-6.34394,0,1.58988e-05,6.16022e-06,-0.676197,0.736727
42.5336,-9.61724,0,-4.10968e-06,2.04813e-06,-0.68006,0.733163
