2.76117,0.534466,0,1
4.45691,-0.609714,0,1
4.93222,-2.66451,0,1
4.47622,-5.03535,0,1
3.89226,-7.44924,0,1
3.33821,-9.29382,0,1
3.20815,-11.7607,0,1
2.68769,-13.9148,0,1
1.66171,-16.0532,0,1
0.235699,-18.4925,0,1
-1.79213,-18.9998,0,1
-3.84198,-17.8901,0,1
-3.34184,-16.0807,0,1
-2.72072,-14.1098,0,1
-1.16192,-12.9079,0,1
0.628305,-12.6523,0,1
2.70767,-11.7193,0,1
3.55082,-10.2168,0,1
3.79476,-8.24667,0,1
4.19682,-6.36129,0,1
4.00689,-4.79258,0,1
4.44737,-3.24225,0,1
5.4587,-2.0739,0,1
6.73822,-1.10546,0,1
9.12394,-1.77361,0,1
12.0847,-3.03689,0,1
15.6419,-4.18144,0,1
17.964,-4.86819,0,1
19.133,-3.1108,0,1
20.1865,-0.614164,0,1
20.8764,1.63952,0,1
